CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment
12346.0,325,2,5342.4,1,2,1,Lost
12347.0,1,7,431501.0,5,4,5,Champions
12348.0,74,4,82378.47,2,3,3,At Risk
12349.0,18,1,176075.12,4,1,4,New Customers
12350.0,309,1,48173.37,1,1,2,Lost
12352.0,35,11,241567.46,3,5,4,Potential Loyalist
12353.0,203,1,4357.89,1,1,1,Lost
12354.0,231,1,161522.49,1,1,4,Other
12355.0,213,1,37648.28,1,1,2,Lost
12356.0,22,3,161617.98,4,3,4,Loyal Customers
12357.0,32,1,366359.39999999997,3,1,5,About To Sleep
12358.0,1,2,39673.67,5,2,2,Loyal Customers
12359.0,7,6,672864.29,5,4,5,Champions
12360.0,51,3,306242.38,3,3,4,Potential Loyalist
12361.0,286,1,30437.800000000003,1,1,1,Lost
12362.0,2,13,688511.11,5,5,5,Champions
12363.0,109,2,53756.56,2,2,2,About To Sleep
12364.0,7,4,215049.54,5,3,4,Loyal Customers
12365.0,290,3,59638.3,1,3,2,At Risk
12367.0,3,1,25839.440000000002,5,1,1,New Customers
12370.0,50,4,417753.02999999997,3,3,5,Potential Loyalist
12371.0,44,2,167307.32,3,2,4,About To Sleep
12372.0,71,3,115169.81,2,3,3,At Risk
12373.0,310,1,28312.370000000003,1,1,1,Lost
12374.0,24,1,66577.75,4,1,2,New Customers
12375.0,2,3,36360.4,5,3,2,Loyal Customers
12377.0,314,2,164885.7,1,2,4,Other
12378.0,129,1,604145.45,2,1,5,About To Sleep
12379.0,81,3,105708.76,2,3,3,At Risk
12380.0,21,5,283392.46,4,4,4,Champions
12381.0,4,6,206368.76,5,4,4,Champions
12383.0,184,6,222610.77,1,4,4,At Risk
12384.0,28,3,66557.46,4,3,2,Loyal Customers
12386.0,337,2,28316.56,1,2,1,Lost
12388.0,15,6,252667.99,4,4,4,Champions
12390.0,79,1,66785.3,2,1,2,About To Sleep
12391.0,21,1,253598.88999999998,4,1,4,New Customers
12393.0,71,4,178735.91,2,4,4,At Risk
12394.0,63,2,60148.57,3,2,2,About To Sleep
12395.0,15,15,427347.96,4,5,5,Champions
12397.0,35,2,278068.08999999997,3,2,4,About To Sleep
12398.0,45,1,204266.06,3,1,4,About To Sleep
12399.0,118,4,158016.72,2,4,4,At Risk
12401.0,302,1,17283.4,1,1,1,Lost
12402.0,322,1,36552.16,1,1,2,Lost
12403.0,49,2,13749.32,3,2,1,About To Sleep
12405.0,148,1,122187.79000000001,2,1,3,About To Sleep
12406.0,21,3,310029.79,4,3,4,Loyal Customers
12407.0,49,5,186352.68,3,4,4,Potential Loyalist
12408.0,32,9,253373.33,3,5,4,Potential Loyalist
12409.0,78,7,324698.54,2,4,5,At Risk
12410.0,300,3,61744.659999999996,1,3,2,At Risk
12412.0,74,3,159888.55,2,3,4,At Risk
12413.0,66,5,109854.73999999999,3,4,3,Potential Loyalist
12414.0,216,3,55774.39,1,3,2,At Risk
12415.0,23,26,1944187.0,4,5,5,Champions
12417.0,2,12,532728.74,5,5,5,Champions
12418.0,112,1,108728.73,2,1,3,About To Sleep
12420.0,63,1,60791.869999999995,3,1,2,About To Sleep
12421.0,15,5,120314.6,4,4,3,Loyal Customers
12422.0,95,3,89740.0,2,3,3,At Risk
12423.0,0,9,299025.94,5,5,4,Champions
12424.0,162,2,66385.45,2,2,2,About To Sleep
12425.0,77,1,101635.55,2,1,3,About To Sleep
12426.0,194,1,64423.78,1,1,2,Lost
12427.0,11,5,105999.6,4,4,3,Loyal Customers
12428.0,25,12,780310.63,4,5,5,Champions
12429.0,8,4,219920.34,5,4,4,Champions
12430.0,42,1,13697.39,3,1,1,About To Sleep
12431.0,35,18,541433.7,3,5,5,Potential Loyalist
12432.0,42,5,306154.57,3,4,4,Potential Loyalist
12433.0,0,7,1041010.62,5,4,5,Champions
12434.0,84,4,152672.79,2,4,4,At Risk
12435.0,79,2,101148.54,2,2,3,About To Sleep
12436.0,99,1,37832.96,2,1,2,About To Sleep
12437.0,1,19,517110.85,5,5,5,Champions
12438.0,13,2,272767.92,4,2,4,Loyal Customers
12441.0,366,1,40781.32,1,1,2,Lost
12442.0,2,1,21563.65,5,1,1,New Customers
12444.0,20,5,456209.69,4,4,5,Champions
12445.0,21,1,9383.41,4,1,1,New Customers
12446.0,57,1,112599.03,3,1,3,About To Sleep
12447.0,242,1,66037.09,1,1,2,Lost
12448.0,43,1,55133.65,3,1,2,About To Sleep
12449.0,21,4,445251.36,4,4,5,Champions
12450.0,155,2,20098.899999999998,2,2,1,About To Sleep
12451.0,10,6,817653.44,5,4,5,Champions
12452.0,16,3,42101.1,4,3,2,Loyal Customers
12453.0,133,1,119409.38,2,1,3,About To Sleep
12454.0,52,2,82346.66,3,2,3,About To Sleep
12455.0,72,6,229091.6,2,4,4,At Risk
12456.0,43,4,382840.43,3,4,5,Potential Loyalist
12457.0,57,12,179996.08,3,5,4,Potential Loyalist
12458.0,70,2,87334.81,3,2,3,About To Sleep
12461.0,93,2,93725.56999999999,2,2,3,About To Sleep
12462.0,1,4,196093.01,5,4,4,Champions
12463.0,45,7,247879.52,3,4,4,Potential Loyalist
12464.0,9,8,60952.03,5,5,2,Loyal Customers
12465.0,7,3,111615.44,5,3,3,Loyal Customers
12468.0,142,3,104308.31,2,3,3,At Risk
12471.0,1,49,1351390.04,5,5,5,Champions
12472.0,30,13,927503.2,4,5,5,Champions
12473.0,28,9,467491.63,4,5,5,Champions
12474.0,16,30,1198462.21,4,5,5,Champions
12475.0,53,1,82538.12,3,1,3,About To Sleep
12476.0,0,20,671115.8,5,5,5,Champions
12477.0,22,9,799397.41,4,5,5,Champions
12478.0,3,1,100444.79,5,1,3,New Customers
12479.0,3,3,99937.72,5,3,3,Loyal Customers
12480.0,27,4,390183.74,4,4,5,Champions
12481.0,22,11,567524.67,4,5,5,Champions
12483.0,16,13,198902.62,4,5,4,Champions
12484.0,32,8,856352.98,3,5,5,Potential Loyalist
12488.0,9,3,116253.34,5,3,3,Loyal Customers
12489.0,335,1,30462.03,1,1,1,Lost
12490.0,4,10,630004.55,5,5,5,Champions
12491.0,38,1,58867.68,3,1,2,About To Sleep
12492.0,62,2,45247.52,3,2,2,About To Sleep
12493.0,165,3,58920.39,2,3,2,At Risk
12494.0,9,13,214807.05,5,5,4,Champions
12497.0,81,1,46060.87,2,1,2,About To Sleep
12498.0,20,3,55777.82,4,3,2,Loyal Customers
12500.0,22,13,159061.43,4,5,4,Champions
12501.0,314,2,432544.63,1,2,5,Other
12502.0,95,5,369357.34,2,4,5,At Risk
12503.0,337,1,984.5999999999999,1,1,1,Lost
12504.0,17,4,43814.619999999995,4,4,2,Loyal Customers
12505.0,300,1,4735.36,1,1,1,Lost
12506.0,232,1,66333.0,1,1,2,Lost
12507.0,133,4,56400.759999999995,2,4,2,At Risk
12508.0,25,2,172952.53,4,2,4,Loyal Customers
12509.0,283,1,33776.46,1,1,2,Lost
12510.0,142,2,77315.62,2,2,3,About To Sleep
12512.0,65,2,64773.0,3,2,2,About To Sleep
12513.0,84,2,96874.05,2,2,3,About To Sleep
12514.0,266,1,108784.52,1,1,3,Other
12515.0,352,1,26832.8,1,1,1,Lost
12516.0,77,2,63849.31,2,2,2,About To Sleep
12517.0,27,6,751369.44,4,4,5,Champions
12518.0,0,5,340254.36,5,4,5,Champions
12519.0,63,1,45401.06,3,1,2,About To Sleep
12520.0,78,6,455111.95,2,4,5,At Risk
12521.0,142,1,91236.31999999999,2,1,3,About To Sleep
12522.0,38,2,31564.38,3,2,1,About To Sleep
12523.0,1,13,257626.78,5,5,4,Champions
12524.0,8,8,389618.3,5,5,5,Champions
12526.0,0,3,165732.83,5,3,4,Loyal Customers
12527.0,81,3,57273.36,2,3,2,At Risk
12528.0,8,8,241009.11000000002,5,5,4,Champions
12530.0,59,5,167080.12,3,4,4,Potential Loyalist
12531.0,14,1,37309.4,4,1,2,New Customers
12532.0,29,1,36965.63,4,1,2,New Customers
12534.0,130,1,145122.73,2,1,3,About To Sleep
12535.0,91,2,76617.2,2,2,3,About To Sleep
12536.0,7,5,655384.95,5,4,5,Champions
12538.0,28,1,49731.35,4,1,2,New Customers
12539.0,21,5,644016.77,4,4,5,Champions
12540.0,19,19,1123549.76,4,5,5,Champions
12541.0,29,3,118408.69,4,3,3,Loyal Customers
12544.0,29,2,57648.64,4,2,2,Loyal Customers
12545.0,74,2,130607.94,2,2,3,About To Sleep
12546.0,46,3,177828.01,3,3,4,Potential Loyalist
12547.0,197,2,25398.379999999997,1,2,1,Lost
12548.0,165,1,16300.899999999998,2,1,1,About To Sleep
12550.0,78,1,138743.17,2,1,3,About To Sleep
12551.0,357,1,25556.19,1,1,1,Lost
12552.0,38,2,43372.18,3,2,2,About To Sleep
12553.0,7,14,521494.22,5,5,5,Champions
12556.0,49,2,346168.37,3,2,5,About To Sleep
12557.0,15,5,66441.34999999999,4,4,2,Loyal Customers
12558.0,1,2,50578.49,5,2,2,Loyal Customers
12559.0,310,3,57244.44,1,3,2,At Risk
12560.0,4,4,271122.07,5,4,4,Champions
12561.0,302,1,68068.38,1,1,2,Lost
12562.0,7,7,489463.93,5,4,5,Champions
12564.0,260,1,51285.32,1,1,2,Lost
12565.0,281,2,25933.36,1,2,1,Lost
12566.0,72,2,56563.92,2,2,2,About To Sleep
12567.0,22,11,1236543.23,4,5,5,Champions
12569.0,1,35,477301.68,5,5,5,Champions
12571.0,39,2,71284.35,3,2,2,About To Sleep
12572.0,8,3,145601.35,5,3,3,Loyal Customers
12573.0,226,1,61040.44,1,1,2,Lost
12574.0,315,1,33392.729999999996,1,1,1,Lost
12576.0,35,6,207386.9,3,4,4,Potential Loyalist
12577.0,34,4,337343.36,3,4,5,Potential Loyalist
12578.0,20,4,298317.01,4,4,4,Champions
12579.0,72,3,80314.2,2,3,3,At Risk
12580.0,246,1,48780.4,1,1,2,Lost
12581.0,39,1,39834.61,3,1,2,About To Sleep
12582.0,238,2,44363.11,1,2,2,Lost
12583.0,2,18,547510.4,5,5,5,Champions
12584.0,3,18,327275.04,5,5,5,Champions
12585.0,233,4,219493.55,1,4,4,At Risk
12586.0,16,2,32467.56,4,2,1,Loyal Customers
12587.0,7,1,6867.81,5,1,1,New Customers
12588.0,38,1,21605.08,3,1,1,About To Sleep
12589.0,28,2,90281.64,4,2,3,Loyal Customers
12590.0,189,3,150441.71,1,3,4,At Risk
12591.0,316,1,57861.55,1,1,2,Lost
12592.0,91,2,35188.38,2,2,2,About To Sleep
